date,bitcoin,isPartial
2015-01-01,2,False
2015-02-01,2,False
2015-03-01,2,False
2015-04-01,2,False
2015-05-01,2,False
2015-06-01,2,False
2015-07-01,2,False
2015-08-01,2,False
2015-09-01,2,False
2015-10-01,2,False
2015-11-01,3,False
2015-12-01,3,False
2016-01-01,3,False
2016-02-01,2,False
2016-03-01,2,False
2016-04-01,2,False
2016-05-01,2,False
2016-06-01,3,False
2016-07-01,2,False
2016-08-01,2,False
2016-09-01,2,False
2016-10-01,2,False
2016-11-01,3,False
2016-12-01,3,False
2017-01-01,4,False
2017-02-01,4,False
2017-03-01,5,False
2017-04-01,4,False
2017-05-01,10,False
2017-06-01,11,False
2017-07-01,9,False
2017-08-01,16,False
2017-09-01,15,False
2017-10-01,19,False
2017-11-01,37,False
2017-12-01,100,False
2018-01-01,51,False
2018-02-01,38,False
2018-03-01,21,False
2018-04-01,16,False
2018-05-01,12,False
2018-06-01,11,False
2018-07-01,10,False
2018-08-01,10,False
2018-09-01,9,False
2018-10-01,7,False
2018-11-01,10,False
2018-12-01,10,False
2019-01-01,8,False
2019-02-01,7,False
2019-03-01,6,False
2019-04-01,9,False
2019-05-01,12,False
2019-06-01,14,False
2019-07-01,13,False
2019-08-01,10,False
2019-09-01,8,False
2019-10-01,7,False
2019-11-01,7,False
2019-12-01,7,False
2020-01-01,8,False
2020-02-01,9,False
2020-03-01,14,False
2020-04-01,11,False
2020-05-01,14,False
2020-06-01,9,False
2020-07-01,10,False
2020-08-01,12,False
2020-09-01,8,False
2020-10-01,11,False
2020-11-01,21,False
2020-12-01,30,False
2021-01-01,67,False
2021-02-01,77,False
2021-03-01,54,False
2021-04-01,49,False
2021-05-01,63,False
2021-06-01,40,False
2021-07-01,29,False
2021-08-01,30,False
2021-09-01,28,False
2021-10-01,37,False
2021-11-01,34,False
2021-12-01,35,False
2022-01-01,39,False
2022-02-01,32,False
2022-03-01,27,False
2022-04-01,21,False
2022-05-01,32,False
2022-06-01,39,False
2022-07-01,26,False
2022-08-01,20,False
2022-09-01,18,True
